,prism_consumer_id,score,reason_1,reason_2,reason_3,cash_score
0,0,0.13012871375603466,Frequent internal transfers between accounts,Low net monthly cash flow,Frequent automotive-related expenses,745
1,1,0.10930912169664932,High proportion of income spent on essentials,Frequent cash withdrawals,High discretionary entertainment spending,755
2,2,0.17385976486091442,Frequent cash withdrawals,High income volatility,Low net monthly cash flow,728
3,3,0.08232176013124998,High proportion of income spent on essentials,High income volatility,High discretionary entertainment spending,771
4,4,0.2750514921240337,Gambling-related spending,Frequent cash withdrawals,Frequent transfers to external accounts,698
5,5,0.09869818631024016,High proportion of income spent on essentials,Frequent transfers to external accounts,Frequent automotive-related expenses,761
6,6,0.14710005769005108,Frequent cash withdrawals,Low net monthly cash flow,Frequent automotive-related expenses,738
7,7,0.08166731896621865,High proportion of income spent on essentials,Limited savings account activity,Irregular paycheck deposits,771
8,8,0.11606750695236627,Low minimum monthly balance,High proportion of income spent on essentials,Low net monthly cash flow,752
9,9,0.20397075784828683,Low minimum monthly balance,Frequent cash withdrawals,Frequent transfers to external accounts,718
10,10,0.12554351296193456,High proportion of income spent on essentials,Frequent cash withdrawals,Low net monthly cash flow,747
11,11,0.6264312441502029,Low minimum monthly balance,High spending on essential services,High income volatility,624
12,12,0.5860602382915585,High transaction volume,Low minimum monthly balance,Limited length of transaction history,633
13,13,0.06043555285461897,Multiple active debt-related expense categories,High income volatility,Low annual income inflows,787
14,14,0.042364424622899174,High income volatility,High spending related to debt obligations,High spending on essential services,806
15,15,0.034947809647048765,High income volatility,Irregular paycheck deposits,Short observable income history,816
16,16,0.09812369592091817,Gambling-related spending,Frequent internal transfers between accounts,Frequent cash withdrawals,761
17,17,0.1667047024036787,Low minimum monthly balance,Frequent internal transfers between accounts,Frequent cash withdrawals,730
18,18,0.06808365927544033,Frequent internal transfers between accounts,Low net monthly cash flow,High discretionary entertainment spending,781
19,19,0.13282532367997385,Frequent cash withdrawals,Frequent automotive-related expenses,Limited savings account activity,744
20,20,0.17990747925446696,Frequent internal transfers between accounts,Low net monthly cash flow,Frequent transfers to external accounts,726
21,21,0.0615861084097831,High discretionary entertainment spending,High income volatility,Irregular paycheck deposits,786
22,22,0.07993299577551033,High income volatility,Low annual income inflows,High debit transaction activity,772
23,23,0.06929551900757595,Low net monthly cash flow,High spending related to debt obligations,High spending on essential services,780
24,24,0.019611553753021434,High income volatility,High proportion of income spent on essentials,Frequent insurance payments,846
25,25,0.14757008951665204,High spending on essential services,High income volatility,Low annual income inflows,738
26,26,0.13164348423634228,High volatility in essential spending,Frequent internal transfers between accounts,High proportion of income spent on essentials,744
27,27,0.06259083963982424,Frequent cash withdrawals,High proportion of income spent on essentials,Frequent automotive-related expenses,785
28,28,0.4238840330193003,Multiple active debt-related expense categories,Frequent internal transfers between accounts,Gambling-related spending,665
29,29,0.09411050405627881,Frequent internal transfers between accounts,Limited savings account activity,High income volatility,763
30,30,0.2002701904379728,Low minimum monthly balance,Large fluctuations in monthly balances,High proportion of income spent on essentials,719
31,31,0.6152077255419693,High transaction volume,Frequent internal transfers between accounts,Limited savings account activity,627
32,32,0.17836041009612819,Low minimum monthly balance,Frequent internal transfers between accounts,Frequent transfers to external accounts,726
33,33,0.05817997043740942,Low net monthly cash flow,Frequent internal transfers between accounts,Irregular paycheck deposits,789
34,34,0.23340798502871007,Frequent internal transfers between accounts,Low net monthly cash flow,Frequent transfers to external accounts,709
35,35,0.12729877896134736,Frequent internal transfers between accounts,Low net monthly cash flow,Irregular paycheck deposits,746
36,36,0.11605087098945735,High income volatility,Low net monthly cash flow,High spending related to debt obligations,752
37,37,0.2767356801852701,Low minimum monthly balance,Limited length of transaction history,Frequent internal transfers between accounts,698
38,38,0.3579977790389671,Low minimum monthly balance,Limited length of transaction history,Frequent internal transfers between accounts,679
39,39,0.3513591881017483,Gambling-related spending,Frequent internal transfers between accounts,High income volatility,681
40,40,0.2605417871832749,High transaction volume,Frequent transfers to external accounts,High discretionary entertainment spending,702
41,41,0.5477016467617656,High transaction volume,Frequent internal transfers between accounts,High discretionary entertainment spending,640
42,42,0.03917811166155188,High proportion of income spent on essentials,High discretionary entertainment spending,Frequent automotive-related expenses,810
43,43,0.44864286400552267,High transaction volume,Limited savings account activity,Frequent internal transfers between accounts,660
44,44,0.08164159684272795,High spending on essential services,High proportion of income spent on essentials,Frequent transfers to external accounts,771
45,45,0.21943530362142705,Low minimum monthly balance,Frequent internal transfers between accounts,High proportion of income spent on essentials,713
46,46,0.7127432868918668,High transaction volume,Limited length of transaction history,Low minimum monthly balance,605
47,47,0.13991594408848712,Multiple active debt-related expense categories,High income volatility,Limited savings account activity,741
48,48,0.27341856533921255,Low minimum monthly balance,Highly variable monthly net cash flow,Frequent internal transfers between accounts,699
49,49,0.11658080677924179,Gambling-related spending,Frequent internal transfers between accounts,Frequent cash withdrawals,751
50,50,0.2872595671459787,Low minimum monthly balance,Low average monthly balance,Large fluctuations in monthly balances,695
51,51,0.07406719880569897,Low annual income inflows,High income volatility,High debit transaction activity,776
52,52,0.16916363740873064,Frequent internal transfers between accounts,Frequent cash withdrawals,Low net monthly cash flow,730
53,53,0.35836885775814287,Low minimum monthly balance,Low average monthly balance,Large fluctuations in monthly balances,679
54,54,0.35626208105225404,Multiple active debt-related expense categories,Frequent internal transfers between accounts,Frequent automotive-related expenses,680
55,55,0.7096837224411378,Low minimum monthly balance,Highly variable monthly net cash flow,Low average monthly balance,605
